id	filename	md5	size	state
a9bf3962-b9bc-47f4-a1e7-3ccb0e61173c	403a34de-a25d-4f22-afec-b9ba5fb1fdc6.mirbase21.mirnas.quantification.txt	6d0700548466b79e681c5553b93dd8bf	50385	released
21adc5b0-1342-4008-b5b5-4754947fccc1	3126711a-850c-4c20-a18a-40fb8fff6799.mirbase21.mirnas.quantification.txt	1f2c440750b61452c27d31e1715e6c63	50348	released
12a437d4-ebb5-47bd-a820-bfde7ebd388d	22d4155a-7e0f-4b3e-ab2d-aef09d0cd196.mirbase21.mirnas.quantification.txt	c4966c16d3d90b5daefe52e9a3205d08	50349	released
dcf82de4-8376-4a12-a60f-09ea01c50099	11a7f71e-90d6-4fa4-abbc-92fea282cb04.mirbase21.mirnas.quantification.txt	d6dab32b3eba3f1177e2333cff663e66	50277	released
f5683afb-2b45-457e-9655-4865b47b2839	2fd3a6de-0205-4a31-80ba-af2c2512026a.mirbase21.mirnas.quantification.txt	5f152da914d21ebd3139ae2731ba13e5	50497	released
681c3ee9-19dd-4d9b-ba47-bf4b238c0f2c	a2200ef3-3d26-4fe9-9b6a-f598ce4294c3.mirbase21.mirnas.quantification.txt	638523f9e21765c4aa279a750ff91cbb	50399	released
7a88f061-c3ee-49e7-b7c7-fea586fd7626	3cb94a44-774b-4681-a629-5a47d86251a5.mirbase21.mirnas.quantification.txt	1a6f3489130a6e43ccc7cfdcaaf063da	50361	released
9d416517-7740-4e8f-b3bf-a3b714ddf70b	7dca8588-06f9-488d-9638-90865e2b4cde.mirbase21.mirnas.quantification.txt	09cac2123e8c59917dddede8a29365fe	50455	released
53aa6072-62e1-4fa2-9c52-2384ade5a14a	67d07137-6f62-4608-bdb1-e515e91921b9.mirbase21.mirnas.quantification.txt	58b8687e614cedd059962af41705b77e	50346	released
90f06495-08d2-422a-91ba-6218e7b5fc8e	7de7d84e-5f55-40af-b38a-1190b0335620.mirbase21.mirnas.quantification.txt	3073bfe8303066260815b34a08e522bb	50330	released
64c2e45d-37b5-4f9c-bcb4-34998a53a182	66c33c3f-82a1-48d8-8f45-9cb192e5bfaf.mirbase21.mirnas.quantification.txt	a6476f73b025504847ee77a5b6877028	50513	released
2fe6b121-2e4f-4e4f-9ac2-a89a28a5f7d4	9355403b-697f-4c94-aa4a-c10443191bd1.mirbase21.mirnas.quantification.txt	10886c0b437177f7aac16e4dbc8016a4	50505	released
46e03db1-c055-4c0c-90d7-368b7a60fd20	4816c377-d51d-43d4-9245-633b2f5e7e4c.mirbase21.mirnas.quantification.txt	e8f6e571ed80b9b568512e32cfa207f5	50350	released
