id	filename	md5	size	state
78e6dc25-4bb2-46be-a756-d1217ca5f7c7	d2f182e8-4b96-436d-87fd-aac2cf26d87e.mirbase21.mirnas.quantification.txt	93f98976df2430ebee39dd8ecb5af03e	50449	released
ce19a555-1d20-4ff9-bce1-9a36a48630f5	b536daf3-d548-4680-bcda-0cd444e906ee.mirbase21.mirnas.quantification.txt	4ed2e747f03c592cf758a8a3bb308095	50366	released
c52ea137-560f-4b74-a098-4cd089a39c6e	11e015a9-1b2c-4527-a3b7-e4e59735db86.mirbase21.mirnas.quantification.txt	08f42701859960ec6ad151e70f299d54	50373	released
f06ef25d-05fe-4bd7-ae0b-ac023a6c6a74	7b1c63c6-a251-4eea-a621-57b8eeff9343.mirbase21.mirnas.quantification.txt	759b9ef11db8d74ebd2d921bb161c64a	50371	released
3fde5030-842e-4694-ad0e-b85c2d3d0cda	fc1cfc35-cdbd-4524-8122-271cd43d4c90.mirbase21.mirnas.quantification.txt	14eb4faa546370195c808271ce7d5764	50468	released
c6fc2ddb-fd8e-42ec-895b-674d92aeb7b5	84500487-5395-4fe5-93bd-2962bc101a3a.mirbase21.mirnas.quantification.txt	3781233d5f08b9f1e350aae9a7802795	50354	released
038bec0a-d70b-494e-ae2f-43c5d2cf03aa	37255373-d5a8-4518-9a0c-913684dffd1a.mirbase21.mirnas.quantification.txt	01e1759c660f1d17057c80b6a56a8c9d	50271	released
9db23f90-7638-4fb7-b59d-b230e7036469	74dfd9c3-447c-43aa-9354-e930d26e9f2b.mirbase21.mirnas.quantification.txt	02872977d4a1161cfe039bda66c4d5ce	50343	released
c6f16618-cb45-4d45-a2b1-ecf9b6f2b585	2f7b15ff-ae23-44f1-a4fe-d901f925ae6d.mirbase21.mirnas.quantification.txt	e75c4f8d03fa194a9698715a735f2b55	50229	released
2ed51dfb-5e63-4ede-9ba1-c948787a99e6	d097dc35-b253-4f6a-9e04-3d4c64906768.mirbase21.mirnas.quantification.txt	be3587b90865795ea3c453f4962123fc	50291	released
968a657a-1fe8-4027-be7a-4c076c29f8a6	7e4cc903-e61a-42d5-b01b-2b7d215d6777.mirbase21.mirnas.quantification.txt	43af1534519feae2311af43635203be8	50289	released
2c9c0d8a-4335-477c-a6e7-6eded7e9da97	ebcf91a6-25da-4b62-90e0-2249cc6262f2.mirbase21.mirnas.quantification.txt	7a80d29a771734e84c457818f5c7dd33	50218	released
ff668982-94cc-4742-ba04-570b4a192426	d0c398bb-9b1f-40e5-9c74-7f92a37e4e83.mirbase21.mirnas.quantification.txt	c7340b115a1ab182a18284ff62344550	50148	released
98975434-62e0-490b-a12f-797f3fa9eaba	f2de28fc-5fae-46f4-aa64-b8fcbf0f34a4.mirbase21.mirnas.quantification.txt	ba2d1bd4280aec4091829f65221f9037	50278	released
6008289e-ec19-47d7-a7f0-f6d1d3cd8ea2	a8cb1199-b8e7-4ae5-9104-a9f047506347.mirbase21.mirnas.quantification.txt	55f2aae2e1cbdbff52117de21a4bcc54	50397	released
75887d12-fb83-4431-a521-d4f7d3a5e70d	e8783ec7-7f4a-4987-a57e-f4cb394611ee.mirbase21.mirnas.quantification.txt	e0a6521864b3af5e71ff02b6edc89949	50349	released
597dd7d2-fb45-471c-8951-4b65d8ce4379	e5cacfa8-1e85-49f5-b59e-02f9692d033d.mirbase21.mirnas.quantification.txt	a63e01746cb5b703d10baf189b75939a	50245	released
ab72bde6-ec49-4c69-8ac8-ad4dedf55427	074aaa70-4512-4c58-9902-bb072a47c3ff.mirbase21.mirnas.quantification.txt	1a1ca357d4a2ffd08ff96834edda0830	50322	released
8ec6a857-11d3-4097-ab6e-24e16fa5c60a	63191bd3-d2bd-426d-a632-7c88fbf2c887.mirbase21.mirnas.quantification.txt	dd92612cf95115de37b537f35fa92289	50337	released
