id	filename	md5	size	state
286e5ae3-dc9f-40c7-be08-7c8199b41668	9bc56db6-d02f-49e7-b635-d4782026e341.mirbase21.mirnas.quantification.txt	57b94b328b6b7bc367c805c1ef61a598	50493	released
524b3ae6-33e4-45f9-bae2-3caff1b9d6ca	87ddb10b-2704-4bf0-8cc3-924984c69a99.mirbase21.mirnas.quantification.txt	2fd65e4ad93c6f33c9012ac5db052e47	50452	released
2379bb95-743d-4011-a946-f082389a9b04	38952649-be86-4aec-9052-7f0449aec2d8.mirbase21.mirnas.quantification.txt	53e8e3506cfb34f4a7ac759a881b1585	50567	released
c830b3f3-78f1-497d-a450-a8bb7f8a9884	4774212f-d658-4c42-bc76-edf3a2b20afc.mirbase21.mirnas.quantification.txt	96918c64e57a49d487ea0ed9b4b446a9	50477	released
d4add3fa-7b02-43ed-9378-fe38fad1bf87	1c86676b-43f8-4f7f-8173-d33a5906108c.mirbase21.mirnas.quantification.txt	0e8f5f420bf1fb1c297c37b405138eee	50474	released
24424426-2459-4754-92d7-32fbeb60063f	ca604eb5-6b77-47e7-b646-3ba52adaf425.mirbase21.mirnas.quantification.txt	d95f7c09efad613d65f95794e2e157bb	50392	released
e41e96a9-18fb-4d9b-beed-638f16e0bc6b	37adc34e-eec0-4225-a156-cee7bc3a2dd9.mirbase21.mirnas.quantification.txt	045213ffb432635f5d588ecd7544fc76	50579	released
55066c31-b961-42f2-b923-91dd83287e6e	de3084ce-b0dc-492d-b927-5ad207d698e4.mirbase21.mirnas.quantification.txt	a62b4f1458a3e1f4f06dcffea32d19be	50230	released
3d5f0360-ccdb-4032-8b3f-d2c39247b33c	cfd2fc00-e3e4-4839-9429-d38f2036b0bc.mirbase21.mirnas.quantification.txt	90a24b69769232142b9af18680030aa6	50428	released
5c7488f4-6475-4dc3-94c4-1dac507ee438	4525cca8-2983-426f-a6e4-54fdaf562058.mirbase21.mirnas.quantification.txt	870254d311c69f1bd62f864d3d7d3f5f	50260	released
17a2f7f7-c4ec-463e-99e2-d144542d7c67	95a5ee60-4aad-49c2-9431-262c4561d77a.mirbase21.mirnas.quantification.txt	9d29da90437fb389b88d3e380ec67c13	50294	released
f2a6e7c6-9a8c-485a-b1ea-a501c735ea2f	7af26309-2784-499f-9613-254ee2366927.mirbase21.mirnas.quantification.txt	ba8e2f4ccacb91258cf75c795f9fb08b	50337	released
a2054cc8-c841-4e00-83be-3e95c0f9aa2d	0e78a0d6-cd49-4284-a064-a02b27598c36.mirbase21.mirnas.quantification.txt	5237233275999976137431bae6695f88	50397	released
f49ffeda-cd7b-4382-ab04-8e67063022bb	6db64098-563d-4b84-a709-50628dac32da.mirbase21.mirnas.quantification.txt	7f52697c43dd85a8dd00df14efd21569	50455	released
a746988c-05b0-4c50-9633-94fec96c430b	4ebf2241-8aaa-4fa8-a164-5973214c8769.mirbase21.mirnas.quantification.txt	1fb5232e9ee7d1f639bc64186c544b79	50236	released
65553152-0c14-47c4-8d8c-bf7e9c15576e	3d06e801-281c-4688-8aee-5ee68b29abe4.mirbase21.mirnas.quantification.txt	82438a88c4083f6df3888f8ea57d3a9d	50380	released
9cbb17bb-d151-4dc9-a3d8-5221d40a5c55	83547fb8-dce1-46a8-8b7a-beb66fcde380.mirbase21.mirnas.quantification.txt	1a087ef89d7286d7ce264fbb5af4c44e	50327	released
0cf6d4c7-969f-4707-98f3-ad23efc2070d	2f77f690-6c64-4956-ac60-fde4effd7a79.mirbase21.mirnas.quantification.txt	b8c3824aa40c3ad6074ff4c7aad5b24a	50397	released
d7c39b1d-ffbf-496d-9ef4-3b7b0ff9b847	4bbd7e2f-1bb6-49d5-b977-9b5396c6ca00.mirbase21.mirnas.quantification.txt	af586b1b2a73a9758c5a59832afc864b	50341	released
ae1ff438-d1b8-4e82-9b12-81499f2b52fb	b170e90e-7d19-414c-a64f-d8795d1b5b19.mirbase21.mirnas.quantification.txt	bcb44eacb18832fb430240bbc8cc1018	50362	released
f024c3e2-30a4-4f63-8829-acae740f90c0	f771ab03-25e9-4654-b3c5-5fbffa00cbbc.mirbase21.mirnas.quantification.txt	242604aa880ce8d519848446aa029486	50291	released
c8add7e0-0987-44d6-b1ca-3d225019b9f9	ce80346d-c285-4964-bf56-48d6d782e278.mirbase21.mirnas.quantification.txt	9a4a318e0784308065665e6d7c462150	50426	released
d92faa23-bdcd-48d9-aa0b-c2ac34ce52ce	7d124a29-7dd4-496f-afed-be34e4a675c2.mirbase21.mirnas.quantification.txt	1283284b6db02bf606e0a2564714cd9f	50465	released
dfd9d2f0-5f04-4b9c-ab87-435ad1a4c883	3eb3d20c-d0b7-4841-931d-bef98abb70ca.mirbase21.mirnas.quantification.txt	61870e690a4232cd4ad7cddb0fb2076b	50209	released
d4c90a45-cd7f-4f79-b392-726dcbbd262a	a3e24a01-b58a-4aa1-a7be-870f2bc14960.mirbase21.mirnas.quantification.txt	3b45f46e9d9ce8922c32d474006aa74f	50442	released
2eb8987b-0269-4b79-95be-2baa18bb48f5	ddb94cb0-a6b0-4fb7-9f68-e544a5811075.mirbase21.mirnas.quantification.txt	054dedf825c4248a23ea67c9b396775d	50453	released
9d57a954-b9d6-42d5-a601-87d0d7c3b559	8581d7e0-f298-4fd7-84b1-1cbf09969252.mirbase21.mirnas.quantification.txt	bdb7511b7be9cca88d9f7e635a6579b9	50304	released
